ID,TIPO_PRENDA,TALLA,COLOR,CANTIDAD_DISPONIBLE,PRECIO_50_U,PRECIO_100_U,PRECIO_200_U,DISPONIBLE,CATEGORIA,DESCRIPCION
001,Pantalon,XXL,Verde,177,1058,1182,462,Si,Deportivo,Ideal para uso diario.
002,Camiseta,XXL,Blanco,33,510,975,739,Si,Deportivo,Prenda comoda y ligera.
003,Camiseta,S,Negro,457,1292,457,873,Si,Casual,Diseño moderno y elegante.
004,Falda,S,Blanco,414,1138,986,386,Si,Casual,Ideal para uso diario.
005,Sudadera,XL,Verde,151,603,799,367,Si,Formal,Diseño moderno y elegante.
006,Chaqueta,S,Amarillo,223,961,636,1014,Si,Deportivo,Prenda comoda y ligera.
007,Pantalon,L,Gris,436,1331,1222,516,Si,Deportivo,Diseño moderno y elegante.
008,Falda,XXL,Blanco,441,1286,1306,613,Si,Casual,Prenda comoda y ligera.
009,Sudadera,L,Azul,187,889,991,608,Si,Casual,Material de alta calidad.
010,Pantalon,XXL,Gris,462,647,1149,542,Si,Formal,Diseño moderno y elegante.
011,Chaqueta,S,Azul,65,464,1109,555,Si,Deportivo,Material de alta calidad.
012,Pantalon,M,Blanco,65,786,941,640,Si,Formal,Material de alta calidad.
013,Falda,XL,Azul,454,762,1123,898,Si,Deportivo,Material de alta calidad.
014,Chaqueta,L,Gris,193,430,903,940,Si,Casual,Diseño moderno y elegante.
015,Falda,L,Azul,246,952,530,1107,Si,Deportivo,Prenda comoda y ligera.
016,Falda,XL,Blanco,301,883,693,615,No,Formal,Prenda comoda y ligera.
017,Camiseta,S,Azul,348,1128,1351,737,Si,Deportivo,Material de alta calidad.
018,Falda,L,Gris,39,1224,1394,763,No,Deportivo,Prenda comoda y ligera.
019,Chaqueta,L,Azul,86,416,939,382,No,Formal,Prenda comoda y ligera.
020,Camiseta,XXL,Rojo,302,1292,962,816,Si,Deportivo,Diseño moderno y elegante.
021,Pantalon,L,Verde,334,1017,639,1238,Si,Formal,Material de alta calidad.
022,Sudadera,XL,Azul,350,1288,1339,547,No,Deportivo,Diseño moderno y elegante.
023,Pantalon,S,Verde,257,525,544,1205,Si,Casual,Prenda comoda y ligera.
024,Camiseta,M,Negro,34,1386,643,1131,No,Formal,Diseño moderno y elegante.
025,Sudadera,S,Negro,166,596,1276,791,Si,Deportivo,Perfecta para actividades al aire libre.
026,Camiseta,S,Verde,214,503,385,858,No,Casual,Material de alta calidad.
027,Sudadera,S,Verde,64,967,724,768,Si,Casual,Ideal para uso diario.
028,Falda,XL,Negro,196,464,1368,711,Si,Deportivo,Perfecta para actividades al aire libre.
029,Chaqueta,XL,Amarillo,282,1465,1069,464,Si,Casual,Diseño moderno y elegante.
030,Camisa,M,Verde,206,1100,842,572,Si,Casual,Ideal para uso diario.
031,Falda,XXL,Blanco,322,1006,1017,1065,No,Casual,Prenda comoda y ligera.
032,Camiseta,S,Rojo,298,1010,743,431,Si,Deportivo,Perfecta para actividades al aire libre.
033,Falda,M,Azul,482,1120,765,400,Si,Deportivo,Diseño moderno y elegante.
034,Camisa,L,Blanco,40,548,761,685,No,Formal,Ideal para uso diario.
035,Camisa,XXL,Verde,264,783,771,1035,Si,Deportivo,Diseño moderno y elegante.
036,Sudadera,XXL,Amarillo,194,1261,479,310,Si,Deportivo,Material de alta calidad.
037,Sudadera,S,Negro,208,925,938,1270,Si,Formal,Ideal para uso diario.
038,Pantalon,XXL,Rojo,19,1379,539,913,Si,Formal,Material de alta calidad.
039,Pantalon,M,Verde,340,1338,449,406,Si,Casual,Diseño moderno y elegante.
040,Pantalon,M,Negro,199,1295,713,680,No,Casual,Prenda comoda y ligera.
041,Chaqueta,M,Rojo,142,777,1083,702,Si,Deportivo,Material de alta calidad.
042,Chaqueta,S,Amarillo,333,1089,438,567,Si,Casual,Diseño moderno y elegante.
043,Sudadera,XXL,Rojo,304,1271,559,1221,Si,Formal,Perfecta para actividades al aire libre.
044,Camiseta,S,Azul,443,424,1046,382,Si,Deportivo,Diseño moderno y elegante.
045,Sudadera,XL,Rojo,376,840,1152,1270,Si,Deportivo,Material de alta calidad.
046,Camisa,S,Rojo,121,1090,818,986,Si,Formal,Perfecta para actividades al aire libre.
047,Chaqueta,XL,Blanco,279,608,748,644,No,Formal,Ideal para uso diario.
048,Camiseta,XXL,Amarillo,480,548,880,1278,Si,Formal,Ideal para uso diario.
049,Sudadera,XL,Blanco,262,1167,714,792,No,Deportivo,Ideal para uso diario.
050,Sudadera,XL,Blanco,248,717,590,865,Si,Deportivo,Ideal para uso diario.
051,Falda,M,Blanco,323,1071,583,831,Si,Casual,Diseño moderno y elegante.
052,Camisa,XXL,Gris,411,963,673,689,No,Casual,Material de alta calidad.
053,Pantalon,XL,Azul,405,815,1187,703,Si,Deportivo,Diseño moderno y elegante.
054,Falda,L,Azul,41,805,740,986,No,Deportivo,Prenda comoda y ligera.
055,Camisa,L,Blanco,111,551,1055,921,Si,Casual,Diseño moderno y elegante.
056,Chaqueta,XL,Negro,73,876,1056,770,No,Formal,Perfecta para actividades al aire libre.
057,Camiseta,S,Rojo,37,1049,573,356,Si,Casual,Diseño moderno y elegante.
058,Camisa,M,Rojo,151,655,730,562,No,Casual,Diseño moderno y elegante.
059,Chaqueta,XL,Gris,260,1052,368,452,Si,Deportivo,Ideal para uso diario.
060,Pantalon,M,Verde,405,960,1164,360,Si,Deportivo,Perfecta para actividades al aire libre.
061,Chaqueta,XXL,Negro,297,1055,570,1021,Si,Formal,Material de alta calidad.
062,Chaqueta,S,Verde,473,1180,769,482,Si,Formal,Perfecta para actividades al aire libre.
063,Pantalon,L,Rojo,11,708,945,654,No,Casual,Prenda comoda y ligera.
064,Falda,M,Gris,374,874,993,766,Si,Deportivo,Material de alta calidad.
065,Falda,L,Verde,137,685,386,1018,No,Casual,Ideal para uso diario.
066,Camisa,XL,Azul,441,1151,422,621,Si,Deportivo,Perfecta para actividades al aire libre.
067,Pantalon,XL,Azul,17,1331,1225,704,No,Deportivo,Material de alta calidad.
068,Sudadera,S,Blanco,479,571,1081,1170,No,Deportivo,Diseño moderno y elegante.
069,Camisa,L,Negro,486,835,1207,911,Si,Deportivo,Ideal para uso diario.
070,Camiseta,XL,Rojo,364,1225,1248,358,No,Casual,Perfecta para actividades al aire libre.
071,Chaqueta,L,Blanco,320,1070,1281,1014,Si,Casual,Ideal para uso diario.
072,Camiseta,L,Amarillo,148,1356,974,699,Si,Casual,Diseño moderno y elegante.
073,Falda,L,Gris,252,1283,1190,433,Si,Deportivo,Material de alta calidad.
074,Pantalon,XL,Rojo,28,913,1058,334,No,Deportivo,Perfecta para actividades al aire libre.
075,Chaqueta,S,Verde,136,507,521,1207,Si,Formal,Ideal para uso diario.
076,Chaqueta,L,Azul,18,407,641,1259,Si,Casual,Perfecta para actividades al aire libre.
077,Sudadera,XL,Gris,453,516,520,951,No,Formal,Diseño moderno y elegante.
078,Camiseta,M,Gris,360,457,959,1148,Si,Formal,Prenda comoda y ligera.
079,Camiseta,L,Blanco,103,445,1191,812,Si,Deportivo,Ideal para uso diario.
080,Falda,S,Verde,200,680,965,875,No,Deportivo,Prenda comoda y ligera.
081,Sudadera,M,Negro,319,1008,1071,1212,Si,Casual,Diseño moderno y elegante.
082,Pantalon,M,Rojo,337,720,1389,431,No,Formal,Diseño moderno y elegante.
083,Sudadera,XXL,Azul,275,801,780,1221,No,Casual,Material de alta calidad.
084,Sudadera,XXL,Rojo,218,1167,674,1263,Si,Casual,Perfecta para actividades al aire libre.
085,Camisa,M,Rojo,19,527,822,791,Si,Casual,Material de alta calidad.
086,Pantalon,S,Gris,99,753,731,347,No,Casual,Perfecta para actividades al aire libre.
087,Falda,L,Verde,317,1390,971,1123,Si,Casual,Ideal para uso diario.
088,Camisa,M,Azul,253,1438,1342,1009,Si,Casual,Material de alta calidad.
089,Camiseta,L,Verde,449,778,1177,977,Si,Formal,Perfecta para actividades al aire libre.
090,Camiseta,M,Verde,350,404,1221,1012,Si,Formal,Perfecta para actividades al aire libre.
091,Chaqueta,XXL,Amarillo,98,463,580,1271,No,Deportivo,Diseño moderno y elegante.
092,Camiseta,S,Gris,226,987,490,904,Si,Casual,Ideal para uso diario.
093,Camiseta,L,Blanco,100,599,1336,1246,Si,Deportivo,Material de alta calidad.
094,Pantalon,XL,Gris,249,756,1288,425,Si,Casual,Diseño moderno y elegante.
095,Camiseta,XL,Negro,245,541,1095,681,Si,Formal,Perfecta para actividades al aire libre.
096,Falda,L,Negro,480,975,457,798,Si,Deportivo,Prenda comoda y ligera.
097,Falda,XXL,Azul,51,973,785,628,Si,Formal,Perfecta para actividades al aire libre.
098,Sudadera,XXL,Azul,114,1491,529,476,Si,Casual,Perfecta para actividades al aire libre.
099,Camiseta,S,Verde,391,1067,372,366,Si,Formal,Ideal para uso diario.
100,Chaqueta,XL,Rojo,347,1117,565,358,Si,Deportivo,Diseño moderno y elegante.
